"No.","Time","Source","Destination","Protocol","Length","Info"
"1407","1.322990","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1146817 Ack=38 Win=26880 Len=1448 TSval=254570984 TSecr=2935394712"
"1408","1.323044","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1146817 Win=129600 Len=0 TSval=2935394729 TSecr=254570984"
"1409","1.323067","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1148265 Win=131072 Len=0 TSval=2935394729 TSecr=254570984"
"1410","1.323272","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1148265 Ack=38 Win=26880 Len=1448 TSval=254570984 TSecr=2935394712"
"1411","1.323275","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1149713 Ack=38 Win=26880 Len=1448 TSval=254570984 TSecr=2935394712"
"1412","1.323277","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1151161 Ack=38 Win=26880 Len=1448 TSval=254570984 TSecr=2935394712"
"1413","1.323279","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1152609 Ack=38 Win=26880 Len=1448 TSval=254570984 TSecr=2935394712"
"1414","1.323302","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1151161 Win=128160 Len=0 TSval=2935394729 TSecr=254570984"
"1415","1.323313","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1154057 Win=125280 Len=0 TSval=2935394729 TSecr=254570984"
"1416","1.323317","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1154057 Ack=38 Win=26880 Len=1448 TSval=254570984 TSecr=2935394712"
"1417","1.323332","192.168.0.13","52.71.251.84","TCP","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=1154057 Win=131072 Len=0 TSval=2935394729 TSecr=254570984"
"1418","1.323447","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1155505 Ack=38 Win=26880 Len=1448 TSval=254570984 TSecr=2935394712"
"1419","1.323449","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1156953 Ack=38 Win=26880 Len=1448 TSval=254570984 TSecr=2935394712"
"1420","1.323466","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1156953 Win=129600 Len=0 TSval=2935394729 TSecr=254570984"
"1421","1.323488","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1158401 Win=131072 Len=0 TSval=2935394729 TSecr=254570984"
"1422","1.323630","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1158401 Ack=38 Win=26880 Len=1448 TSval=254570984 TSecr=2935394712"
"1423","1.323892","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1159849 Ack=38 Win=26880 Len=1448 TSval=254570984 TSecr=2935394712"
"1424","1.323894","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1161297 Ack=38 Win=26880 Len=1448 TSval=254570984 TSecr=2935394712"
"1425","1.323896","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1162745 Ack=38 Win=26880 Len=1448 TSval=254570984 TSecr=2935394712"
"1426","1.323898","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1164193 Ack=38 Win=26880 Len=1448 TSval=254570984 TSecr=2935394712"
"1427","1.323918","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1161297 Win=129600 Len=0 TSval=2935394730 TSecr=254570984"
"1428","1.323928","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1164193 Win=126720 Len=0 TSval=2935394730 TSecr=254570984"
"1429","1.323946","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1165641 Win=131072 Len=0 TSval=2935394730 TSecr=254570984"
"1430","1.324023","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1165641 Ack=38 Win=26880 Len=1448 TSval=254570984 TSecr=2935394712"
"1431","1.324025","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1167089 Ack=38 Win=26880 Len=1448 TSval=254570984 TSecr=2935394712"
"1432","1.324039","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1168537 Win=128160 Len=0 TSval=2935394730 TSecr=254570984"
"1433","1.324050","192.168.0.13","52.71.251.84","TCP","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=1168537 Win=131072 Len=0 TSval=2935394730 TSecr=254570984"
